"","Study_ID","Site_ID","broad_outcome","detailed_outcome","is_subset","use_for_first_analysis","use_for_trophic_analysis","Highest_taxonomic_resolution","sampling_season","disturbance_type","comparison_type","disturbance_av","control_av","dist_var","control_var","var_type","dist_n","control_n","above_below","perc_annual_dist","time_after_dist_start","Country","Validity","Functional_group_size.y","body_length.y","body_width_taxa","mean_width","control_SD","dist_SD","lat","lon","trophic_to_use","exoskeleton","trap","study_year","cv_Control","cv_Experimental","geary_control","geary_trt","geary_test","lnrr_laj","v_lnrr_laj","yi","vi","rr_diff","sei","e_n","inv_n_tilda","sqrt_inv_n_tilda","aridity"
"21","Lindberg_2006a","Lindberg_2006a_1","alpha diversity","shannon wiener",FALSE,TRUE,TRUE,"Mesostigmata","Autumn","drought","undisturbed vs disturbed",1.6,1.51,0.08,0.02,"SE",4,4,"belowground",-35,2555,"Sweden","Medium validity","mesofauna","Mesostigmata","Mesostigmata",2.1,0.04,0.16,56.55,13.2166666666667,"predator","yes","Other",2006,0.0264900662251656,0.1,142.117647058824,37.6470588235294,"pass",0.0590562629678259,0.00267700109615377,0.0578939784189027,0.00267543090215341,0.00116228454892325,0.0517245676845483,8,0.5,0.707106781186548,1.5437
"22","Lindberg_2006a","Lindberg_2006a_1","alpha diversity","shannon wiener",FALSE,TRUE,TRUE,"Mesostigmata","Autumn","drought","undisturbed vs disturbed",1.14,1.33,0.1,0.1,"SE",4,4,"belowground",-35,2920,"Sweden","Medium validity","mesofauna","Mesostigmata","Mesostigmata",2.1,0.2,0.2,56.55,13.2166666666667,"predator","yes","Other",2006,0.150375939849624,0.175438596491228,25.0352941176471,21.4588235294118,"pass",-0.153129957595614,0.0133706978677317,-0.154150679827258,0.0133479061061174,0.0010207222316444,0.115533138562568,8,0.5,0.707106781186548,1.5437
"23","Lindberg_2006a","Lindberg_2006a_1","alpha diversity","shannon wiener",FALSE,TRUE,TRUE,"Mesostigmata","Autumn","drought","undisturbed vs disturbed",1.01,1.55,0.18,0.04,"SE",4,4,"belowground",-35,3285,"Sweden","Medium validity","mesofauna","Mesostigmata","Mesostigmata",2.1,0.08,0.36,56.55,13.2166666666667,"predator","yes","Other",2006,0.0516129032258065,0.356435643564356,72.9411764705882,10.562091503268,"pass",-0.41275679055002,0.0326798755072302,-0.428304600077987,0.0324275649456333,0.0155478095279675,0.180076553014637,8,0.5,0.707106781186548,1.5437
"24","Lindberg_2006a","Lindberg_2006a_1","alpha diversity","shannon wiener",FALSE,TRUE,TRUE,"Mesostigmata","Autumn","drought","undisturbed vs disturbed",1.54,1.51,0.15,0.02,"SE",4,4,"belowground",-35,NA,"Sweden","Medium validity","mesofauna","Mesostigmata","Mesostigmata",2.1,0.04,0.3,56.55,13.2166666666667,"predator","yes","Other",2006,0.0264900662251656,0.194805194805195,142.117647058824,19.3254901960784,"pass",0.0243286831380144,0.00968520663087372,0.0196727655987049,0.00966269688292589,0.0046559175393095,0.0982990177108901,8,0.5,0.707106781186548,1.5437
"25","Lindberg_2006a","Lindberg_2006a_1","alpha diversity","shannon wiener",FALSE,TRUE,TRUE,"Mesostigmata","Autumn","drought","undisturbed vs disturbed",1.39,1.33,0.03,0.1,"SE",4,4,"belowground",-35,NA,"Sweden","Medium validity","mesofauna","Mesostigmata","Mesostigmata",2.1,0.2,0.06,56.55,13.2166666666667,"predator","yes","Other",2006,0.150375939849624,0.0431654676258993,25.0352941176471,87.2156862745098,"pass",0.0415310966976509,0.00612708922069867,0.0441248049089379,0.00611904522025508,0.00259370821128696,0.078224326269103,8,0.5,0.707106781186548,1.5437
"26","Lindberg_2006a","Lindberg_2006a_1","alpha diversity","shannon wiener",FALSE,TRUE,TRUE,"Mesostigmata","Autumn","drought","undisturbed vs disturbed",1.42,1.55,0.09,0.04,"SE",4,4,"belowground",-35,NA,"Sweden","Medium validity","mesofauna","Mesostigmata","Mesostigmata",2.1,0.08,0.18,56.55,13.2166666666667,"predator","yes","Other",2006,0.0516129032258065,0.126760563380282,72.9411764705882,29.6993464052288,"pass",-0.0859225157368497,0.00468717812493759,-0.087598059317986,0.00468303305197072,0.00167554358113627,0.0684326899366868,8,0.5,0.707106781186548,1.5437
"27","Lindberg_2006a","Lindberg_2006a_1","alpha diversity","shannon wiener",FALSE,TRUE,FALSE,"Oribatida","Autumn","drought","undisturbed vs disturbed",1.31,1.96,0.1,0.07,"SE",4,4,"belowground",-35,2555,"Sweden","Medium validity","mesofauna","Oribatida","Acari",1.1158,0.14,0.2,56.55,13.2166666666667,NA,"yes","Other",2006,0.0714285714285714,0.152671755725191,52.7058823529412,24.6588235294118,"pass",-0.40064150800688,0.00711157215132842,-0.402917336029366,0.00710267645313472,0.00227582802248577,0.0842773780627679,8,0.5,0.707106781186548,1.5437
"28","Lindberg_2006a","Lindberg_2006a_1","alpha diversity","shannon wiener",FALSE,TRUE,FALSE,"Oribatida","Autumn","drought","undisturbed vs disturbed",1.09,1.88,0.15,0.06,"SE",4,4,"belowground",-35,2920,"Sweden","Medium validity","mesofauna","Oribatida","Acari",1.1158,0.12,0.3,56.55,13.2166666666667,NA,"yes","Other",2006,0.0638297872340425,0.275229357798165,58.9803921568627,13.678431372549,"pass",-0.53613446089385,0.0200462797151985,-0.545094080600805,0.0199563602830834,0.0089596197069558,0.141266982282072,8,0.5,0.707106781186548,1.5437
"29","Lindberg_2006a","Lindberg_2006a_1","alpha diversity","shannon wiener",FALSE,TRUE,FALSE,"Oribatida","Autumn","drought","undisturbed vs disturbed",1.25,1.94,0.22,0.06,"SE",4,4,"belowground",-35,3285,"Sweden","Medium validity","mesofauna","Oribatida","Acari",1.1158,0.12,0.44,56.55,13.2166666666667,NA,"yes","Other",2006,0.0618556701030928,0.352,60.8627450980392,10.6951871657754,"pass",-0.424534687251515,0.032172637862855,-0.439544421761027,0.0319325309809757,0.015009734509512,0.178696757052207,8,0.5,0.707106781186548,1.5437
"30","Lindberg_2006a","Lindberg_2006a_1","alpha diversity","shannon wiener",FALSE,TRUE,FALSE,"Oribatida","Autumn","drought","undisturbed vs disturbed",1.41,1.96,0.17,0.07,"SE",4,4,"belowground",-35,NA,"Sweden","Medium validity","mesofauna","Oribatida","Acari",1.1158,0.14,0.34,56.55,13.2166666666667,NA,"yes","Other",2006,0.0714285714285714,0.24113475177305,52.7058823529412,15.6124567474048,"pass",-0.322724277890308,0.0158652364646624,-0.329354768852349,0.0158120023322442,0.00663049096204055,0.125745784550593,8,0.5,0.707106781186548,1.5437
