"","Study_ID","Site_ID","broad_outcome","detailed_outcome","is_subset","Highest_taxonomic_resolution","disturbance_type","comparison_type","disturbance_av","control_av","dist_var","control_var","var_type","dist_n","control_n","above_below","perc_during_dist","perc_annual_dist","time_after_dist_end","Functional_group_size","Country","exp_obs","before_after","controlled","blocked","paired","randomized","Validity","lat","lon","trophic_to_use","exoskeleton","study_year","geary_test","lnrr_laj","v_lnrr_laj","yi","vi","rr_diff","sei","e_n","inv_n_tilda","sqrt_inv_n_tilda","aridity"
"21","Kuperman_2002a","Kuperman_2002a_1","abundance",NA,FALSE,"Collembola","drought","undisturbed vs disturbed",42.8668942,25.66552901,6.825938567,3.822525597,"SE",24,24,"belowground",-100,-100,NA,"mesofauna","USA","observational",FALSE,FALSE,FALSE,FALSE,FALSE,"Medium validity",38.717428,-83.446694,"fungivore","yes",2002,"pass",0.514538030845837,0.0478217227623255,0.512951023135383,0.0475379810107665,0.00158700771045361,0.218032064180401,48,0.0833333333333333,0.288675134594813,0.893
"22","Kuperman_2002a","Kuperman_2002a_1","abundance",NA,FALSE,"Collembola","drought","undisturbed vs disturbed",15.56313993,25.66552901,15.56313993,3.822525597,"SE",24,24,"belowground",NA,NA,NA,"mesofauna","USA","observational",FALSE,FALSE,FALSE,FALSE,FALSE,"Medium validity",38.717428,-83.446694,"fungivore","yes",2002,"fail",-0.0113345059354522,1.27230499288511,-0.500243514537987,1.02218198279493,0.488909008602535,1.01103015919157,48,0.0833333333333333,0.288675134594813,0.893
"23","Kuperman_2002a","Kuperman_2002a_3","abundance",NA,FALSE,"Collembola","drought","undisturbed vs disturbed",15.83617747,53.7883959,3.549488055,5.187713311,"SE",24,24,"belowground",-100,-100,NA,"mesofauna","USA","observational",FALSE,FALSE,FALSE,FALSE,FALSE,"Medium validity",37.628727,-89.158503,"fungivore","yes",2002,"pass",-1.20229279532429,0.0601923692952125,-1.2227607183871,0.0595397782093082,0.0204679230628086,0.244007742109361,48,0.0833333333333333,0.288675134594813,0.8884
"24","Kuperman_2002a","Kuperman_2002a_3","abundance",NA,FALSE,"Collembola","drought","undisturbed vs disturbed",3.003412969,53.7883959,0.273037543,5.187713311,"SE",24,24,"belowground",NA,NA,NA,"mesofauna","USA","observational",FALSE,FALSE,FALSE,FALSE,FALSE,"Medium validity",37.628727,-89.158503,"fungivore","yes",2002,"pass",-2.88582720755641,0.0176051358533123,-2.88530845595145,0.0175664288737763,0.000518751604957401,0.132538405278532,48,0.0833333333333333,0.288675134594813,0.8884
"25","Landesman_2011a","Landesman_2011a_1","abundance",NA,FALSE,"Nematoda","drought","undisturbed vs disturbed",12.60869565,105.6521739,10,13.47826087,"SE",4,4,"belowground",-100,-100,NA,"microfauna","USA","experimental",FALSE,TRUE,FALSE,FALSE,FALSE,"Low validity",39.957455,-74.627963,NA,"no",2011,"fail",-1.81939638315553,0.744268278748276,-2.12576561340303,0.645287699272934,0.306369230247497,0.803298013985429,8,0.5,0.707106781186548,0.9311
"26","Lensing_2005a","Lensing_2005a_1","abundance",NA,FALSE,"Araneida","drought","undisturbed vs disturbed",3.214545455,2.374545455,0.941818182,0.712727273,"SE",5,5,"aboveground",-100,-100,NA,"macrofauna","USA","experimental",FALSE,TRUE,FALSE,FALSE,TRUE,"Low validity",37.719113,-84.338822,"predator","yes",2005,"pass",0.300754502482091,0.179804261744097,0.302879933311191,0.175932952542215,0.00212543082910022,0.419443622602865,10,0.4,0.632455532033676,0.9402
"27","Lensing_2005a","Lensing_2005a_1","abundance",NA,FALSE,"Araneida","drought","undisturbed vs disturbed",4.232727273,2.603636364,0.56,0.941818182,"SE",5,5,"aboveground",-100,-100,NA,"macrofauna","USA","experimental",FALSE,TRUE,FALSE,FALSE,TRUE,"Low validity",37.719113,-84.338822,"predator","yes",2005,"pass",0.429264461169472,0.152710875856949,0.485937461255506,0.148353853168818,0.0566730000860332,0.385167305425601,10,0.4,0.632455532033676,0.9402
"28","Lensing_2005a","Lensing_2005a_1","abundance",NA,FALSE,"Araneida","drought","undisturbed vs disturbed",5.632727273,4.232727273,1.501818182,0.941818182,"SE",5,5,"aboveground",-100,-100,NA,"macrofauna","USA","experimental",FALSE,TRUE,FALSE,FALSE,TRUE,"Low validity",37.719113,-84.338822,"predator","yes",2005,"pass",0.296536255102523,0.122474425633091,0.285747212109471,0.120598232207298,0.0107890429930517,0.347272561840549,10,0.4,0.632455532033676,0.9402
"29","Lensing_2005a","Lensing_2005a_1","abundance",NA,FALSE,"Araneida","drought","undisturbed vs disturbed",4.64,2.4,0.916363636,0.254545455,"SE",5,5,"aboveground",-100,-100,NA,"macrofauna","USA","experimental",FALSE,TRUE,FALSE,FALSE,TRUE,"Low validity",37.719113,-84.338822,"predator","yes",2005,"pass",0.673122779994794,0.0506639522999012,0.659245628884264,0.0502520066172958,0.0138771511105302,0.224169593427155,10,0.4,0.632455532033676,0.9402
"30","Lindberg_2002a","Lindberg_2002a_1","abundance",NA,FALSE,"Collembola","drought","undisturbed vs disturbed",12800,38000,7800,6300,"SE",4,4,"belowground",-70,-35,NA,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,"fungivore","yes",2002,"pass",-0.916215118280558,0.433485869567689,-1.08814098880081,0.398824040209488,0.171925870520256,0.631525169893875,8,0.5,0.707106781186548,1.5437
"31","Lindberg_2002a","Lindberg_2002a_1","abundance",NA,FALSE,"Enchytraeidae","drought","undisturbed vs disturbed",3300,36600,1900,8700,"SE",4,4,"belowground",-70,-35,NA,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,"omnivore","yes",2002,"pass",-2.26862919294225,0.416271108884199,-2.40612577193489,0.388000414099215,0.137496578992633,0.622896792493921,8,0.5,0.707106781186548,1.5437
"32","Lindberg_2002a","Lindberg_2002a_1","abundance",NA,FALSE,"Macroarthropods","drought","undisturbed vs disturbed",190,860,70,100,"SE",4,4,"belowground",-70,-35,NA,"macrofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,"predator","yes",2002,"pass",-1.44880169210898,0.153906531822406,-1.50990831708707,0.149254894088142,0.0611066249780896,0.386335209485419,8,0.5,0.707106781186548,1.5437
"33","Lindberg_2002a","Lindberg_2002a_1","abundance",NA,FALSE,"Mesostigmata","drought","undisturbed vs disturbed",2100,7400,430,690,"SE",4,4,"belowground",-70,-35,NA,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,"predator","yes",2002,"pass",-1.24292608786514,0.0510801152826435,-1.25954265548075,0.050621740052242,0.0166165676156023,0.224992755555022,8,0.5,0.707106781186548,1.5437
"34","Lindberg_2002a","Lindberg_2002a_1","abundance",NA,FALSE,"Oribatida","drought","undisturbed vs disturbed",70200,220000,33800,32600,"SE",4,4,"belowground",-70,-35,NA,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,NA,"yes",2002,"pass",-1.03734595243563,0.267338445137498,-1.1422792353206,0.253782268249272,0.104933282884966,0.503768069898512,8,0.5,0.707106781186548,1.5437
"35","Lindberg_2006a","Lindberg_2006a_1","abundance",NA,FALSE,"Collembola","drought","undisturbed vs disturbed",8064.516129,33724.34018,733.1378299,10997.06745,"SE",4,4,"belowground",-70,-35,NA,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,"fungivore","yes",2006,"pass",-1.47978024401667,0.117440902302885,-1.43074612381472,0.114597166023323,0.0490341202019491,0.33852203181377,8,0.5,0.707106781186548,1.5437
"36","Lindberg_2006a","Lindberg_2006a_1","abundance",NA,FALSE,"Collembola","drought","undisturbed vs disturbed",25659.82405,34457.47801,19794.72141,5131.964809,"SE",4,4,"belowground",-70,-35,NA,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,"fungivore","yes",2006,"fail",-0.00833951120698229,0.70594364344138,-0.294799540220645,0.617284023605328,0.286460029013663,0.785674247767691,8,0.5,0.707106781186548,1.5437
"37","Lindberg_2006a","Lindberg_2006a_1","abundance",NA,FALSE,"Collembola","drought","undisturbed vs disturbed",65249.26686,118035.1906,17595.30792,16129.03226,"SE",4,4,"belowground",-70,-35,NA,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,"fungivore","yes",2006,"pass",-0.565745009135571,0.0927993525173348,-0.59276799515142,0.0913902103130944,0.0270229860158494,0.302308138019959,8,0.5,0.707106781186548,1.5437
"38","Lindberg_2006a","Lindberg_2006a_1","abundance",NA,FALSE,"Collembola","drought","undisturbed vs disturbed",30791.78886,50586.51026,3665.68915,5865.102639,"SE",4,4,"belowground",-70,-35,NA,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,"fungivore","yes",2006,"pass",-0.49607199535876,0.027710279026099,-0.49643688611621,0.027614889686914,0.000364890757449998,0.166177283907621,8,0.5,0.707106781186548,1.5437
"39","Lindberg_2006a","Lindberg_2006a_1","abundance",NA,FALSE,"Collembola","drought","undisturbed vs disturbed",38123.16716,34457.47801,2199.41349,5131.964809,"SE",4,4,"belowground",-70,-35,365,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,"fungivore","yes",2006,"pass",0.0916693266603,0.0256361648115571,0.101096116871369,0.0255103851558653,0.00942679021106878,0.159719708100989,8,0.5,0.707106781186548,1.5437
"40","Lindberg_2006a","Lindberg_2006a_1","abundance",NA,FALSE,"Collembola","drought","undisturbed vs disturbed",159090.9091,118035.1906,28592.37537,16129.03226,"SE",4,4,"belowground",-70,-35,730,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,"fungivore","yes",2006,"pass",0.305307197819217,0.0513206496107458,0.298492988747301,0.0509726564252274,0.00681420907191593,0.225771248003875,8,0.5,0.707106781186548,1.5437
"41","Lindberg_2006a","Lindberg_2006a_1","abundance",NA,FALSE,"Collembola","drought","undisturbed vs disturbed",60850.43988,50586.51026,8064.516129,5865.102639,"SE",4,4,"belowground",-70,-35,1095,"mesofauna","Sweden","experimental",FALSE,TRUE,TRUE,FALSE,TRUE,"Medium validity",56.55,13.2166666666667,"fungivore","yes",2006,"pass",0.186794942607864,0.0311290880562496,0.184734103232682,0.0310067869223782,0.00206083937518223,0.176087441126215,8,0.5,0.707106781186548,1.5437
