"","Study_ID","Site_ID","broad_outcome","detailed_outcome","is_subset","Highest_taxonomic_resolution","trophic_group","trophic_assigned","sampling_method","disturbance_type","comparison_type","disturbance_av","control_av","dist_var","control_var","var_type","dist_n","control_n","significant","approx_p_val","exact_p_val","sample_area","sampling_depth","perc_during_dist","perc_annual_dist","time_after_dist_start","time_after_dist_end","lat","lon","forest_type","deciduous_coniferous","plantation","plot_area","mean_annual_precipitation","mean_annual_temperature","control_SD","dist_SD","Article","Did.the.study.consist.of.both.temporal.and.spatial.comparisons.","Did.the.study.use.randomization.","Did.the.study.avoid.confounding.factors.","Can.study.determine.causality.","Validity","study_year","yi","vi","sei","e_n","inv_n_tilda","sqrt_inv_n_tilda"
"21","Sohlenius_1984a","Sohlenius_1984a_1","alpha diversity","richness",FALSE,"Nematoda",NA,NA,"baerman funnel","precip_inc","undisturbed vs disturbed",17,19,NA,NA,NA,5,5,NA,NA,NA,4.15,8,76.0416667,76.0416667,2251,NA,60.81666667,16.5,"boreal forest","coniferous",NA,900,NA,NA,8.97731773897689,8.47912684470206,"Sohlenius and Wasilewska, 1984","Partially","Yes","Yes","Yes","Medium validity",1984,-0.111225635110224,0.0944041719825518,0.307252619163046,10,0.4,0.632455532033676
"22","Sun_2013a","Sun_2013a_1","alpha diversity","simpsons index",FALSE,"Nematoda",NA,NA,"Oostenbrink cottonwool filter method","precip_inc","undisturbed vs disturbed",0.11,0.08,0.02,NA,"SE",5,5,FALSE,">0.05",NA,19.6,10,30,30,1065,NA,42.4,128.1,"temperate seasonal forest","coniferous",FALSE,2500,700,3.5,0.0377992325851659,0.0548649384068957,"Sun et al. 2013","Partially","Yes","Partially","Yes","Medium validity",2013,0.318453731118535,0.0944041719825518,0.307252619163046,10,0.4,0.632455532033676
"23","Sun_2013a","Sun_2013a_1","alpha diversity","shannon wiener",FALSE,"Nematoda",NA,NA,"Oostenbrink cottonwool filter method","precip_inc","undisturbed vs disturbed",2.61,2.55,0.02,0.05,"SE",5,5,FALSE,">0.05",NA,19.6,10,30,30,1065,NA,42.4,128.1,"temperate seasonal forest","coniferous",FALSE,2500,700,3.5,1.20485053865216,1.30179535674543,"Sun et al. 2013","Partially","Yes","Partially","Yes","Medium validity",2013,0.0232568621642672,0.0944041719825518,0.307252619163046,10,0.4,0.632455532033676
"24","Tsiafouli_2005a","Tsiafouli_2005a_1","alpha diversity","shannon wiener",FALSE,"Collembola",NA,"fungivore","berlese funnel","precip_inc","undisturbed vs disturbed",1.83,1.42,NA,NA,NA,7,7,NA,NA,NA,50.27,NA,34.935305,34.935305,120,NA,40.43333333,23.56666667,"temperate seasonal forest","coniferous",FALSE,2.1875,745.3,10.9,0.670936378386694,0.91275306622381,"Tsiafouli et al. 2005","Partially","Yes","Partially","Yes","Medium validity",2005,0.25365909524016,0.0674315514161084,0.259675858362129,14,0.285714285714286,0.534522483824849
"25","Tsiafouli_2005a","Tsiafouli_2005a_1","alpha diversity","simpsons index",FALSE,"Collembola",NA,"fungivore","berlese funnel","precip_inc","undisturbed vs disturbed",1.43,1.19,NA,NA,NA,7,7,NA,NA,NA,50.27,NA,34.935305,34.935305,120,NA,40.43333333,23.56666667,"temperate seasonal forest","coniferous",FALSE,2.1875,745.3,10.9,0.562263584704342,0.713244199289644,"Tsiafouli et al. 2005","Partially","Yes","Partially","Yes","Medium validity",2005,0.183721137148378,0.0674315514161084,0.259675858362129,14,0.285714285714286,0.534522483824849
"26","Tsiafouli_2005a","Tsiafouli_2005a_1","alpha diversity","richness",FALSE,"Collembola",NA,"fungivore","berlese funnel","precip_inc","undisturbed vs disturbed",17,11,NA,NA,NA,7,7,NA,NA,NA,50.27,NA,34.935305,34.935305,120,NA,40.43333333,23.56666667,"temperate seasonal forest","coniferous",FALSE,2.1875,745.3,10.9,5.19739448046031,8.47912684470206,"Tsiafouli et al. 2005","Partially","Yes","Partially","Yes","Medium validity",2005,0.435318071257845,0.0674315514161084,0.259675858362129,14,0.285714285714286,0.534522483824849
"27","Tsiafouli_2005a","Tsiafouli_2005a_1","alpha diversity","shannon wiener",FALSE,"Oribatida",NA,NA,"berlese funnel","precip_inc","undisturbed vs disturbed",1.58,2.02,NA,NA,NA,7,7,NA,NA,NA,50.27,NA,34.935305,34.935305,120,NA,40.43333333,23.56666667,"temperate seasonal forest","coniferous",FALSE,2.1875,745.3,10.9,0.954430622775438,0.788060024389957,"Tsiafouli et al. 2005","Partially","Yes","Partially","Yes","Medium validity",2005,-0.245672664374238,0.0674315514161084,0.259675858362129,14,0.285714285714286,0.534522483824849
"28","Tsiafouli_2005a","Tsiafouli_2005a_1","alpha diversity","simpsons index",FALSE,"Oribatida",NA,NA,"berlese funnel","precip_inc","undisturbed vs disturbed",0.79,1.29,NA,NA,NA,7,7,NA,NA,NA,50.27,NA,34.935305,34.935305,120,NA,40.43333333,23.56666667,"temperate seasonal forest","coniferous",FALSE,2.1875,745.3,10.9,0.609512625435799,0.394030012194978,"Tsiafouli et al. 2005","Partially","Yes","Partially","Yes","Medium validity",2005,-0.490364551894651,0.0674315514161084,0.259675858362129,14,0.285714285714286,0.534522483824849
"29","Tsiafouli_2005a","Tsiafouli_2005a_1","alpha diversity","richness",FALSE,"Oribatida",NA,NA,"berlese funnel","precip_inc","undisturbed vs disturbed",30,15,NA,NA,NA,7,7,NA,NA,NA,50.27,NA,34.935305,34.935305,120,NA,40.43333333,23.56666667,"temperate seasonal forest","coniferous",FALSE,2.1875,745.3,10.9,7.0873561097186,14.9631650200625,"Tsiafouli et al. 2005","Partially","Yes","Partially","Yes","Medium validity",2005,0.693147180559945,0.0674315514161084,0.259675858362129,14,0.285714285714286,0.534522483824849
"30","Tsiafouli_2005a","Tsiafouli_2005a_1","alpha diversity","shannon wiener",FALSE,"Collembola",NA,"fungivore","berlese funnel","precip_inc","undisturbed vs disturbed",1.45,1.42,NA,NA,NA,7,7,NA,NA,NA,50.27,NA,38.4103512,38.4103512,120,NA,40.43333333,23.56666667,"temperate seasonal forest","coniferous",FALSE,2.1875,745.3,10.9,0.670936378386694,0.723219642636353,"Tsiafouli et al. 2005","Partially","Yes","Partially","Yes","Medium validity",2005,0.0209066848193136,0.0674315514161084,0.259675858362129,14,0.285714285714286,0.534522483824849
"31","Tsiafouli_2005a","Tsiafouli_2005a_1","alpha diversity","simpsons index",FALSE,"Collembola",NA,"fungivore","berlese funnel","precip_inc","undisturbed vs disturbed",1.04,1.19,NA,NA,NA,7,7,NA,NA,NA,50.27,NA,38.4103512,38.4103512,120,NA,40.43333333,23.56666667,"temperate seasonal forest","coniferous",FALSE,2.1875,745.3,10.9,0.562263584704342,0.518723054028832,"Tsiafouli et al. 2005","Partially","Yes","Partially","Yes","Medium validity",2005,-0.134732593970157,0.0674315514161084,0.259675858362129,14,0.285714285714286,0.534522483824849
"32","Tsiafouli_2005a","Tsiafouli_2005a_1","alpha diversity","richness",FALSE,"Collembola",NA,"fungivore","berlese funnel","precip_inc","undisturbed vs disturbed",15,11,NA,NA,NA,7,7,NA,NA,NA,50.27,NA,38.4103512,38.4103512,120,NA,40.43333333,23.56666667,"temperate seasonal forest","coniferous",FALSE,2.1875,745.3,10.9,5.19739448046031,7.48158251003123,"Tsiafouli et al. 2005","Partially","Yes","Partially","Yes","Medium validity",2005,0.310154928303839,0.0674315514161084,0.259675858362129,14,0.285714285714286,0.534522483824849
"33","Tsiafouli_2005a","Tsiafouli_2005a_1","alpha diversity","shannon wiener",FALSE,"Oribatida",NA,NA,"berlese funnel","precip_inc","undisturbed vs disturbed",2.22,2.02,NA,NA,NA,7,7,NA,NA,NA,50.27,NA,38.4103512,38.4103512,120,NA,40.43333333,23.56666667,"temperate seasonal forest","coniferous",FALSE,2.1875,745.3,10.9,0.954430622775438,1.10727421148462,"Tsiafouli et al. 2005","Partially","Yes","Partially","Yes","Medium validity",2005,0.0944096844710748,0.0674315514161084,0.259675858362129,14,0.285714285714286,0.534522483824849
"34","Tsiafouli_2005a","Tsiafouli_2005a_1","alpha diversity","simpsons index",FALSE,"Oribatida",NA,NA,"berlese funnel","precip_inc","undisturbed vs disturbed",1.6,1.29,NA,NA,NA,7,7,NA,NA,NA,50.27,NA,38.4103512,38.4103512,120,NA,40.43333333,23.56666667,"temperate seasonal forest","coniferous",FALSE,2.1875,745.3,10.9,0.609512625435799,0.798035467736665,"Tsiafouli et al. 2005","Partially","Yes","Partially","Yes","Medium validity",2005,0.215361410872155,0.0674315514161084,0.259675858362129,14,0.285714285714286,0.534522483824849
"35","Tsiafouli_2005a","Tsiafouli_2005a_1","alpha diversity","richness",FALSE,"Oribatida",NA,NA,"berlese funnel","precip_inc","undisturbed vs disturbed",29,15,NA,NA,NA,7,7,NA,NA,NA,50.27,NA,38.4103512,38.4103512,120,NA,40.43333333,23.56666667,"temperate seasonal forest","coniferous",FALSE,2.1875,745.3,10.9,7.0873561097186,14.464392852727,"Tsiafouli et al. 2005","Partially","Yes","Partially","Yes","Medium validity",2005,0.659245628884264,0.0674315514161084,0.259675858362129,14,0.285714285714286,0.534522483824849
"36","Williams_2014a","Williams_2014a_1","alpha diversity","richness",FALSE,"Coleoptera",NA,NA,"pitfall traps","precip_inc","undisturbed vs disturbed",6.5,6.8,0.2,0.1,"SE",30,30,NA,NA,NA,78.5,NA,33,33,2557,NA,35.951883,-84.272722,"temperate seasonal forest","deciduous",FALSE,36,1358,14.2,0.547722557505166,1.09544511501033,"Williams et al. 2014","Partially","Yes","Partially","Yes","Medium validity",2014,-0.0451204352804695,0.00116300853790872,0.0341029109887811,60,0.0666666666666667,0.258198889747161
