Site_ID,broad_outcome,detailed_outcome,is_subset,Highest_taxonomic_resolution,body_size,trophic_group,sampling_method,sampling_month,sampling_season,disturbance_type,comparison_type,disturbance_av,control_av,disturbance_av_before,control_av_before,av_type,unit,dist_var,control_var,dist_var_before,control_var_before,var_type,dist_n,control_n,description_data_extraction,significant,approx_p_val,exact_p_val,exact_z_val,sample_area,sampling_depth,dist_strength_during,annual_strength_dist,perc_during_dist,perc_annual_dist,time_after_dist_start,time_after_dist_end,TN,SOC,soil_moisture,soil_moisture_unit,soil_bulk_density ,function_info,log_tranformed,notes,,
Lindberg_2002a_1,alpha diversity,simpsons index,FALSE,Collembola,NA,NA,tullgren funnel,October,Autumn,drought,undisturbed vs disturbed,12,15,NA,NA,mean,ind/500ind,0.6,0.8,,,SE,4,4,p 928 table 4,TRUE,<0.05,NA,NA,100,10,70,35,70,35,2555,NA,,,0.401515152,dw/fw,NA,FALSE,,,,
Lindberg_2006a_1,abundance,NA,FALSE,Oribatida,NA,NA,tullgren funnel,October,Autumn,drought,undisturbed vs disturbed,15759.31232,119627.5072,NA,NA,mean,density m-2,5014.326648,28653.29513,,,SE,4,4,p 497 fig 1,TRUE,<0.001,,NA,7854,10,70,35,70,35,2190,NA,NA,NA,0.402,dw/fw,NA,FALSE,,SOIL MOISTURE FROM LINDBERG 2002,,
Lindberg_2006a_1,abundance,NA,FALSE,Oribatida,NA,NA,tullgren funnel,October,Autumn,drought,undisturbed vs disturbed,37249.28367,131805.1576,NA,NA,mean,density m-2,15042.97994,13610.31519,,,SE,4,4,p 497 fig 1,TRUE,<0.001,,NA,7854,10,70,35,70,35,2555,NA,NA,NA,0.402,dw/fw,NA,FALSE,,IS RECOVERY FUNCTION INFO?,,
Lindberg_2006a_1,abundance,NA,FALSE,Oribatida,NA,NA,tullgren funnel,November,Autumn,drought,undisturbed vs disturbed,131805.1576,179799.4269,NA,NA,mean,density m-2,19340.97421,16475.6447,,,SE,4,4,p 497 fig 1,FALSE,NA,NA,NA,7854,10,70,35,70,35,2920,NA,NA,NA,0.402,dw/fw,NA,FALSE,,,,
Lindberg_2006a_1,abundance,NA,FALSE,Oribatida,NA,NA,tullgren funnel,November,Autumn,drought,undisturbed vs disturbed,138968.4814,120343.8395,NA,NA,mean,density m-2,58022.92264,13610.31519,,,SE,4,4,p 497 fig 1,FALSE,NA,NA,NA,7854,10,70,35,70,35,3285,NA,NA,NA,0.402,dw/fw,NA,FALSE,,,,
Lindberg_2006a_1,abundance,NA,FALSE,Oribatida,NA,NA,tullgren funnel,October,Autumn,drought,undisturbed vs disturbed,69484.24069,131805.1576,NA,NA,mean,density m-2,8595.988539,13610.31519,,,SE,4,4,p 497 fig 1,TRUE,<0.1,0.053,NA,7854,10,70,35,70,35,NA,365,NA,NA,0.402,dw/fw,NA,FALSE,,,,
Lindberg_2006a_1,abundance,NA,FALSE,Oribatida,NA,NA,tullgren funnel,November,Autumn,drought,undisturbed vs disturbed,128223.4957,179799.4269,NA,NA,mean,density m-2,17191.97708,16475.6447,,,SE,4,4,p 497 fig 1,FALSE,NA,NA,NA,7854,10,70,35,70,35,NA,730,NA,NA,0.402,dw/fw,NA,FALSE,,,,
Lindberg_2006a_1,abundance,NA,FALSE,Oribatida,NA,NA,tullgren funnel,November,Autumn,drought,undisturbed vs disturbed,136103.1519,120343.8395,NA,NA,mean,density m-2,32951.2894,13610.31519,,,SE,4,4,p 497 fig 1,FALSE,NA,NA,NA,7854,10,70,35,70,35,NA,1095,NA,NA,0.402,dw/fw,NA,FALSE,,,,
Lindberg_2006a_1,abundance,NA,FALSE,Collembola,NA,NA,tullgren funnel,October,Autumn,drought,undisturbed vs disturbed,8064.516129,33724.34018,NA,NA,mean,density m-2,733.1378299,10997.06745,,,SE,4,4,p 497 fig 1,TRUE,<0.05,0.005,NA,7854,10,70,35,70,35,2190,NA,NA,NA,0.402,dw/fw,NA,FALSE,,,,
Lindberg_2006a_1,abundance,NA,FALSE,Collembola,NA,NA,tullgren funnel,October,Autumn,drought,undisturbed vs disturbed,25659.82405,34457.47801,NA,NA,mean,density m-2,19794.72141,5131.964809,,,SE,4,4,p 497 fig 1,TRUE,<0.05,0.008,NA,7854,10,70,35,70,35,2555,NA,NA,NA,0.402,dw/fw,NA,FALSE,,,,
