"","Study_ID","Site_ID","disturbance_type","Functional_group_size.y","Country","lat","lon"
"184","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"185","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"186","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"187","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"188","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"189","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"190","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"191","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"192","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"193","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"194","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"195","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"196","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"197","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"198","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"199","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"200","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"201","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"202","Lindberg_2006a","Lindberg_2006a_1","drought","mesofauna","Sweden",56.55,13.2166666666667
"203","Liu_2020a","Liu_2020a_1","precip_inc","microfauna","China",31.7666666666667,114.016666666667
"204","Liu_2020a","Liu_2020a_1","precip_inc","microfauna","China",31.7666666666667,114.016666666667
"205","Liu_2020a","Liu_2020a_1","precip_inc","microfauna","China",31.7666666666667,114.016666666667
"206","Liu_2020a","Liu_2020a_1","precip_inc","microfauna","China",31.7666666666667,114.016666666667
"207","Liu_2020a","Liu_2020a_1","precip_inc","microfauna","China",31.7666666666667,114.016666666667
"208","Liu_2020a","Liu_2020a_1","precip_inc","microfauna","China",31.7666666666667,114.016666666667
"209","Liu_2020a","Liu_2020a_1","precip_inc","microfauna","China",31.7666666666667,114.016666666667
"210","Liu_2020a","Liu_2020a_1","precip_inc","microfauna","China",31.7666666666667,114.016666666667
"211","Liu_2020a","Liu_2020a_1","precip_inc","microfauna","China",31.7666666666667,114.016666666667
"212","Liu_2020a","Liu_2020a_1","precip_inc","microfauna","China",31.7666666666667,114.016666666667
"213","Liu_2020a","Liu_2020a_1","precip_inc","microfauna","China",31.7666666666667,114.016666666667
"214","Liu_2020a","Liu_2020a_1","precip_inc","microfauna","China",31.7666666666667,114.016666666667
"215","Liu_2020a","Liu_2020a_1","precip_inc","microfauna","China",31.7666666666667,114.016666666667
"216","Liu_2020a","Liu_2020a_1","precip_inc","microfauna","China",31.7666666666667,114.016666666667
"217","Peguero_2021a","Peguero_2021a_1","drought",NA,"Spain",41.35,1.03333333333333
"218","Peguero_2021a","Peguero_2021a_1","drought","mesofauna","Spain",41.35,1.03333333333333
"219","Peguero_2021a","Peguero_2021a_1","drought","mesofauna","Spain",41.35,1.03333333333333
"220","Peguero_2021a","Peguero_2021a_1","drought","mesofauna","Spain",41.35,1.03333333333333
"221","Pflug_2001a","Pflug_2001a_1","drought","mesofauna","Germany",50.58426318,8.677588613
"222","Riutta_2012a","Riutta_2012a_1","precip_inc","macrofauna","United Kingdom",51.7666666666667,-1.33333333333333
"223","Riutta_2012a","Riutta_2012a_1","precip_inc","macrofauna","United Kingdom",51.7666666666667,-1.33333333333333
"224","Riutta_2012a","Riutta_2012a_1","precip_inc","macrofauna","United Kingdom",51.7666666666667,-1.33333333333333
"225","Riutta_2012a","Riutta_2012a_1","precip_inc","macrofauna","United Kingdom",51.7666666666667,-1.33333333333333
"226","Riutta_2012a","Riutta_2012a_1","precip_inc","macrofauna","United Kingdom",51.7666666666667,-1.33333333333333
"227","Riutta_2012a","Riutta_2012a_1","precip_inc","macrofauna","United Kingdom",51.7666666666667,-1.33333333333333
